{'code': '094280', 'comp_nm': '효성 ITX', 'target_nm': '주당손익', 'value': 0}
{'code': '094280', 'comp_nm': '효성 ITX', 'target_nm': '영업외비용', 'value': 0}
{'code': '095340', 'comp_nm': 'ISC', 'target_nm': '주당손익', 'value': 0}
{'code': '095570', 'comp_nm': 'AJ네트웍스', 'target_nm': '주당손익', 'value': 0}
{'code': '096770', 'comp_nm': 'SK이노베이션', 'target_nm': '당기순이익', 'value': 0}
{'code': '096770', 'comp_nm': 'SK이노베이션', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '096770', 'comp_nm': 'SK이노베이션', 'target_nm': '주당손익', 'value': 0}
{'code': '097950', 'comp_nm': 'CJ제일제당', 'target_nm': '주당손익', 'value': 0}
{'code': '097950', 'comp_nm': 'CJ제일제당', 'target_nm': '영업외비용', 'value': 0}
{'code': '100120', 'comp_nm': '뷰웍스', 'target_nm': '영업외비용', 'value': 0}
{'code': '101000', 'comp_nm': '상상인인더스트리', 'target_nm': '법인세비용', 'value': 0}
{'code': '102120', 'comp_nm': '어보브반도체', 'target_nm': '금융비용', 'value': 0}
{'code': '103140', 'comp_nm': '풍산', 'target_nm': '주당손익', 'value': 0}
{'code': '104620', 'comp_nm': '노랑풍선', 'target_nm': '당기순이익', 'value': 0}
{'code': '104620', 'comp_nm': '노랑풍선', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '107590', 'comp_nm': '미원홀딩스', 'target_nm': '당기순이익', 'value': 0}
{'code': '107590', 'comp_nm': '미원홀딩스', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '114190', 'comp_nm': '강원', 'target_nm': '법인세비용', 'value': 0}
{'code': '115180', 'comp_nm': '큐리언트', 'target_nm': '매출액', 'value': 0}
{'code': '115180', 'comp_nm': '큐리언트', 'target_nm': '전기 매출액', 'value': 0}
{'code': '115180', 'comp_nm': '큐리언트', 'target_nm': '법인세비용', 'value': 0}
{'code': '115450', 'comp_nm': '지트리비앤티', 'target_nm': '법인세비용', 'value': 0}
