{'code': '000390', 'comp_nm': '삼화페인트공업', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 594292973764}
{'code': '000430', 'comp_nm': '대원강업', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 572095997135}
{'code': '000430', 'comp_nm': '대원강업', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 587299074656}
{'code': '000430', 'comp_nm': '대원강업', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 445770949780}
{'code': '000430', 'comp_nm': '대원강업', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 460690033819}
{'code': '000430', 'comp_nm': '대원강업', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 363767237959}
{'code': '000430', 'comp_nm': '대원강업', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 329646560345}
{'code': '000430', 'comp_nm': '대원강업', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 85102203104}
{'code': '000430', 'comp_nm': '대원강업', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 1017866946915}
{'code': '000440', 'comp_nm': '중앙에너비스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 61606666172}
{'code': '000440', 'comp_nm': '중앙에너비스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 45123992118}
{'code': '000440', 'comp_nm': '중앙에너비스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 9718860593}
{'code': '000440', 'comp_nm': '중앙에너비스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 16451398136}
{'code': '000440', 'comp_nm': '중앙에너비스', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 6816291215}
{'code': '000440', 'comp_nm': '중앙에너비스', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 22613734633}
{'code': '000440', 'comp_nm': '중앙에너비스', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 1384249347}
{'code': '000440', 'comp_nm': '중앙에너비스', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 71325526765}
{'code': '000480', 'comp_nm': '조선내화', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 732645844038}
{'code': '000480', 'comp_nm': '조선내화', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 703332446850}
{'code': '000480', 'comp_nm': '조선내화', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 513632071586}
{'code': '000480', 'comp_nm': '조선내화', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 365726925104}
{'code': '000480', 'comp_nm': '조선내화', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 405247142162}
{'code': '000480', 'comp_nm': '조선내화', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 450746862403}
{'code': '000480', 'comp_nm': '조선내화', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 101479951734}
{'code': '000480', 'comp_nm': '조선내화', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 1246277915624}
{'code': '000490', 'comp_nm': '대동공업', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 328298573604}
{'code': '000490', 'comp_nm': '대동공업', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 218848905768}
{'code': '000490', 'comp_nm': '대동공업', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 610427548427}
{'code': '000490', 'comp_nm': '대동공업', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 608523024306}
{'code': '000490', 'comp_nm': '대동공업', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 497095986804}
{'code': '000490', 'comp_nm': '대동공업', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 466433636923}
{'code': '000490', 'comp_nm': '대동공업', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 241353138232}
{'code': '000490', 'comp_nm': '대동공업', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 938726122031}
{'code': '000500', 'comp_nm': '가온전선', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 263562215682}
